",,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced"
"Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA"
"30,Brigham Young NCAA,34,23,11,.676,21.04,12.45,,9,9,,12,3,,3,6,,2853,2561,,70.5,118.7,.342,.398,.580,52.8,45.4,10.2,11.9,.547,13.0,34.6,.255"
"31,Brown,27,9,18,.333,-9.90,-4.66,,3,11,,6,8,,3,10,,1900,1892,,67.3,102.7,.277,.370,.528,50.5,59.5,11.7,12.1,.503,16.2,30.3,.189"
"32,Bryant,31,9,22,.290,-18.19,-7.92,,5,11,,8,5,,1,17,,2010,2246,,65.0,98.6,.302,.478,.517,48.7,54.5,9.0,11.4,.479,17.3,28.5,.225"
"33,Bucknell,33,10,23,.303,-14.38,-5.44,,6,12,,6,8,,4,12,,2223,2518,,66.9,99.5,.298,.427,.525,47.3,54.0,10.7,5.9,.485,16.7,27.0,.229"
"34,Buffalo,32,17,15,.531,-3.52,-3.99,,7,11,,7,8,,8,6,,2497,2438,,67.4,114.9,.394,.454,.593,48.7,55.5,11.1,8.1,.560,14.2,27.8,.289"
"35,Butler,32,16,16,.500,10.47,8.63,,7,13,,10,7,,3,8,,2540,2481,,70.0,111.7,.421,.349,.550,52.4,57.2,9.1,8.0,.509,13.6,34.6,.303"
"36,Cal Poly,33,14,19,.424,-4.17,-0.20,,10,10,,8,6,,6,11,,2710,2805,,76.3,107.2,.350,.524,.563,50.3,50.6,8.6,5.8,.519,17.2,30.2,.275"
"37,Cal State Bakersfield,32,8,24,.250,-12.69,-1.26,,2,18,,6,11,,2,13,,2339,2629,,73.0,100.2,.425,.288,.515,47.6,44.7,10.5,13.3,.462,16.0,30.7,.313"
"38,Cal State Fullerton,34,18,16,.529,-1.75,0.12,,12,8,,10,4,,6,10,,2822,2778,,76.3,108.8,.381,.430,.560,48.0,57.0,10.7,8.6,.525,13.4,25.4,.273"
"39,Cal State Northridge,34,20,14,.588,-1.96,-1.27,,12,8,,12,3,,7,8,,2767,2713,,75.6,107.3,.337,.338,.535,53.4,56.7,9.1,8.9,.509,14.7,33.3,.224"
"40,California,32,21,11,.656,11.67,7.61,,9,9,,16,4,,4,6,,2492,2344,,69.4,111.3,.375,.425,.565,48.7,52.8,8.4,9.0,.520,13.0,26.3,.292"
"41,California Baptist NCAA,33,25,8,.758,2.52,-2.93,,13,5,,15,0,,7,7,,2410,2230,,67.4,107.1,.361,.321,.526,55.1,40.4,8.0,7.5,.486,15.1,37.8,.260"
"42,Campbell,34,16,18,.471,-2.85,-0.10,,8,10,,10,4,,3,13,,2691,2639,,70.8,111.8,.424,.368,.557,51.9,46.6,9.5,4.4,.515,14.8,35.4,.308"
"43,Canisius,31,10,21,.323,-16.98,-7.85,,5,15,,7,8,,3,13,,1951,2184,,64.5,97.1,.311,.397,.504,49.5,55.0,7.6,8.4,.467,16.9,29.7,.224"
"44,Central Arkansas,34,22,12,.647,-1.34,-4.66,,15,3,,14,1,,6,10,,2749,2541,,69.7,113.9,.301,.492,.569,50.9,57.2,12.4,6.7,.543,13.2,29.7,.213"
"45,Central Connecticut State,30,18,12,.600,-11.33,-9.94,,12,6,,10,4,,8,8,,2215,2127,,66.0,111.4,.298,.349,.569,51.0,51.6,8.5,11.2,.536,14.0,28.5,.229"
"46,Central Michigan,31,10,21,.323,-8.48,-2.48,,6,12,,8,5,,1,15,,2275,2384,,69.3,105.9,.319,.339,.551,48.1,56.0,9.5,11.9,.523,16.0,29.8,.223"
"47,Charleston Southern,32,15,17,.469,-6.70,-6.66,,6,10,,10,4,,5,11,,2670,2563,,74.1,110.1,.302,.515,.567,51.6,56.9,6.4,10.8,.550,15.9,30.5,.196"
"48,Charlotte,34,17,17,.500,-0.20,1.08,,9,9,,11,6,,4,8,,2492,2530,,64.5,111.6,.366,.453,.567,51.5,52.1,7.0,9.9,.535,15.6,34.2,.262"
"49,Chattanooga,32,13,19,.406,-10.89,-6.96,,7,11,,7,8,,6,9,,2454,2408,,68.1,112.7,.278,.506,.581,48.2,56.8,7.8,8.0,.551,12.7,24.1,.213"
"50,Chicago State,32,7,25,.219,-16.28,-4.93,,5,13,,5,6,,2,19,,2105,2434,,65.9,99.4,.302,.313,.496,46.2,49.9,12.3,4.8,.455,13.6,29.4,.224"
"51,Cincinnati,33,18,15,.545,15.50,9.95,,9,9,,15,3,,2,8,,2413,2230,,69.2,105.3,.294,.438,.531,51.6,63.7,9.0,12.1,.505,14.6,30.6,.200"
"52,Clemson NCAA,34,24,10,.706,16.99,9.57,,12,6,,13,3,,6,5,,2521,2269,,65.5,112.4,.371,.429,.562,51.4,50.2,9.6,9.1,.526,12.5,28.1,.270"
"53,Cleveland State,33,11,22,.333,-13.07,-3.04,,6,14,,7,8,,3,13,,2633,2836,,71.5,111.6,.366,.496,.583,47.4,58.4,7.9,7.8,.547,15.8,29.1,.276"
"54,Coastal Carolina,32,19,13,.594,-7.52,-5.78,,11,7,,8,5,,10,7,,2346,2323,,68.9,104.0,.318,.433,.523,51.1,41.5,6.2,8.3,.486,13.3,27.7,.232"
