",,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced"
"Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA"
"129,Jackson State,33,12,21,.364,-19.48,-5.96,,10,8,,7,3,,4,15,,2318,2764,,71.0,98.1,.374,.433,.508,45.8,45.8,8.8,8.1,.457,16.8,29.7,.284"
"130,Jacksonville,32,12,20,.375,-10.72,-5.05,,7,11,,8,4,,3,14,,2339,2349,,66.0,109.8,.336,.379,.549,52.4,46.2,10.0,8.4,.517,14.4,33.6,.241"
"131,Jacksonville State,32,15,17,.469,-3.46,-2.80,,10,10,,10,7,,5,8,,2325,2188,,66.7,108.2,.426,.391,.544,52.4,49.6,9.2,9.6,.509,14.6,31.5,.292"
"132,James Madison,33,18,15,.545,-4.96,-5.24,,9,9,,11,4,,5,10,,2460,2437,,67.0,110.5,.359,.424,.560,51.5,48.4,7.7,11.6,.529,14.9,30.9,.253"
"133,Kansas NCAA,33,23,10,.697,21.10,14.86,,12,6,,14,2,,5,6,,2496,2290,,68.2,110.0,.326,.357,.555,51.5,53.3,8.0,15.6,.516,13.5,29.5,.250"
"134,Kansas City,31,4,27,.129,-19.67,-1.92,,1,15,,3,11,,1,15,,2149,2600,,71.9,96.1,.310,.369,.499,45.5,47.5,8.7,8.1,.468,15.9,27.5,.209"
"135,Kansas State,32,12,20,.375,8.58,10.86,,3,15,,10,8,,1,10,,2546,2619,,73.8,107.8,.269,.409,.557,47.7,57.7,9.5,9.1,.533,15.3,29.2,.191"
"136,Kennesaw State NCAA,34,21,13,.618,0.13,-2.00,,10,10,,13,3,,4,8,,2834,2586,,72.4,114.2,.436,.434,.557,53.3,51.6,9.7,14.3,.522,13.7,36.6,.301"
"137,Kent State,33,24,9,.727,-0.10,-2.45,,14,4,,14,3,,7,5,,2808,2628,,72.8,114.7,.429,.447,.574,53.7,57.6,9.3,9.8,.531,15.1,35.8,.318"
"138,Kentucky NCAA,34,21,13,.618,19.80,12.86,,10,8,,14,4,,4,6,,2746,2510,,69.8,115.7,.375,.392,.567,52.1,57.0,10.2,12.3,.531,12.8,33.8,.273"
"139,La Salle,32,9,23,.281,-4.10,4.00,,5,13,,7,6,,1,13,,2148,2370,,66.5,100.9,.369,.315,.503,50.3,55.7,10.2,7.9,.457,15.4,33.8,.267"
"140,Lafayette,32,11,21,.344,-12.84,-6.58,,8,10,,6,10,,5,11,,2222,2381,,67.2,102.9,.325,.400,.523,48.0,55.4,8.2,6.6,.492,13.5,26.1,.224"
"141,Lamar,31,12,19,.387,-5.73,-3.66,,7,15,,7,8,,5,10,,2167,2143,,66.3,105.0,.278,.345,.516,52.9,56.3,9.7,13.0,.486,15.0,36.0,.195"
"142,Le Moyne,32,15,17,.469,-10.89,-9.31,,10,8,,9,4,,5,12,,2336,2341,,69.4,105.1,.385,.405,.564,49.8,56.5,8.4,9.1,.529,16.9,25.5,.277"
"143,Lehigh NCAA,34,18,16,.529,-9.32,-7.04,,11,7,,13,4,,4,11,,2490,2515,,67.1,105.7,.323,.389,.565,47.1,55.0,9.7,8.2,.534,15.8,23.6,.236"
"144,Liberty,32,25,7,.781,2.47,-1.57,,17,3,,14,2,,10,2,,2501,2253,,65.0,119.4,.308,.492,.628,46.6,61.8,9.6,9.5,.612,12.4,19.6,.217"
"145,Lindenwood,33,18,15,.545,-9.11,-8.44,,11,9,,9,5,,7,9,,2566,2398,,73.7,105.5,.371,.307,.533,51.6,51.6,12.0,11.0,.501,15.6,33.9,.252"
"146,Lipscomb,32,19,13,.594,-4.18,-4.78,,12,6,,13,1,,6,11,,2549,2423,,70.9,111.9,.257,.482,.576,49.0,63.2,9.8,7.7,.549,14.0,27.0,.194"
"147,Little Rock,32,12,20,.375,-12.97,-7.71,,9,11,,7,6,,5,13,,2257,2372,,68.5,103.0,.283,.309,.526,48.1,53.1,11.5,12.6,.501,16.0,32.2,.191"
"148,Long Beach State,32,10,22,.313,-5.51,0.26,,6,14,,7,9,,3,13,,2396,2489,,71.3,103.8,.302,.342,.545,49.3,47.6,9.7,8.0,.514,15.7,27.0,.220"
"149,Long Island University NCAA,34,24,10,.706,-4.96,-7.93,,15,3,,14,1,,10,9,,2519,2418,,68.1,108.3,.347,.290,.557,51.3,49.7,11.4,13.9,.533,16.4,34.3,.232"
"150,Longwood,32,16,16,.500,-8.22,-7.88,,8,8,,11,4,,4,10,,2486,2370,,70.0,108.1,.408,.335,.556,53.9,47.0,12.1,7.3,.512,16.6,35.3,.302"
"151,Louisiana,33,11,22,.333,-12.03,-5.03,,7,11,,7,8,,3,13,,2101,2332,,64.1,99.3,.287,.405,.504,46.7,45.9,9.0,10.8,.471,14.5,28.3,.202"
"152,Louisiana State,32,15,17,.469,12.69,9.75,,3,15,,9,8,,3,7,,2606,2512,,68.6,115.5,.409,.345,.573,51.6,52.5,8.5,10.3,.528,13.4,33.1,.313"
"153,Louisiana Tech,34,20,14,.588,-2.92,-2.98,,11,9,,14,3,,4,10,,2375,2210,,65.1,106.1,.328,.335,.520,53.8,49.3,11.2,16.2,.491,15.4,37.3,.219"
"154,Louisiana-Monroe,32,4,28,.125,-18.52,-4.86,,1,17,,3,11,,1,15,,2318,2685,,71.1,101.1,.394,.415,.525,44.8,50.8,8.5,9.0,.479,15.0,25.3,.288"
"155,Louisville NCAA,33,23,10,.697,23.41,10.83,,11,7,,15,2,,4,7,,2797,2382,,71.0,119.4,.335,.528,.599,53.7,59.5,9.7,9.2,.564,14.1,32.9,.257"
"156,Loyola (IL),33,9,24,.273,-6.13,2.84,,4,14,,6,10,,1,9,,2204,2500,,65.9,101.0,.348,.477,.528,50.4,60.8,6.1,11.6,.498,17.1,30.5,.234"
"157,Loyola (MD),32,12,20,.375,-13.33,-8.49,,8,10,,8,6,,3,13,,2407,2466,,68.5,108.1,.303,.470,.541,49.9,50.1,8.9,9.9,.512,13.6,29.3,.213"
"158,Loyola Marymount,32,15,17,.469,1.08,1.50,,6,12,,10,8,,4,7,,2376,2306,,68.6,107.0,.313,.400,.556,48.8,49.4,8.8,10.9,.528,15.2,27.1,.220"
"159,Maine,32,8,24,.250,-16.91,-9.59,,6,10,,4,8,,4,14,,2001,2190,,65.4,95.6,.376,.374,.531,43.2,55.2,11.9,9.1,.505,17.4,19.7,.241"
"160,Manhattan,32,12,20,.375,-15.10,-7.90,,8,12,,7,7,,3,12,,2369,2526,,68.3,107.1,.343,.373,.535,46.4,50.7,11.3,6.0,.486,13.4,29.5,.273"
"161,Marist,31,19,12,.613,-3.63,-8.60,,12,8,,11,4,,7,7,,2160,1979,,66.5,104.3,.253,.347,.533,51.2,59.3,10.5,9.0,.498,14.6,29.4,.198"
"162,Marquette,32,12,20,.375,9.22,9.84,,7,13,,10,7,,2,10,,2405,2425,,70.1,106.0,.328,.422,.533,47.0,58.1,13.2,8.4,.505,13.9,29.7,.221"
"163,Marshall,32,19,13,.594,-2.83,-4.41,,11,7,,13,4,,6,8,,2596,2497,,70.7,114.7,.291,.444,.577,50.3,57.4,8.7,13.4,.551,14.2,32.4,.213"
"164,Maryland,33,12,21,.364,4.80,11.68,,4,16,,7,8,,2,10,,2300,2527,,66.7,104.1,.364,.469,.522,51.5,45.2,7.1,9.1,.481,15.7,33.8,.263"
"165,Maryland-Baltimore County NCAA,32,24,8,.750,-4.40,-11.86,,14,2,,15,2,,9,6,,2439,2144,,66.9,113.0,.329,.392,.577,51.8,45.2,7.5,6.8,.542,12.7,25.6,.251"
"166,Maryland-Eastern Shore,32,9,23,.281,-17.48,-8.35,,5,9,,6,4,,2,18,,2060,2265,,64.9,97.3,.290,.333,.526,50.3,56.3,8.6,8.1,.494,20.5,32.9,.208"
"167,Massachusetts,33,17,16,.515,-2.14,-3.23,,7,11,,11,5,,2,8,,2648,2562,,71.1,110.3,.366,.353,.557,53.9,59.1,9.2,6.7,.530,15.3,34.1,.246"
"168,Massachusetts-Lowell,33,15,18,.455,-14.12,-8.42,,9,7,,10,4,,5,14,,2471,2518,,69.4,107.9,.363,.309,.539,53.2,45.7,7.6,7.8,.510,14.9,34.8,.242"
"169,McNeese NCAA,33,28,5,.848,7.74,-2.06,,19,3,,14,0,,9,5,,2641,2193,,67.3,117.6,.381,.347,.563,51.1,50.3,15.5,15.7,.523,11.9,36.4,.285"
"170,Memphis,32,13,19,.406,3.95,5.42,,8,10,,10,6,,3,10,,2407,2454,,71.4,104.6,.347,.337,.526,49.8,49.8,11.7,12.7,.487,16.0,35.3,.250"
"171,Mercer,32,19,13,.594,-2.87,-5.21,,11,7,,14,1,,5,11,,2646,2416,,70.9,116.6,.375,.406,.568,50.8,48.1,11.1,9.5,.533,12.5,33.7,.271"
"172,Mercyhurst,34,17,17,.500,-9.86,-9.46,,10,8,,12,3,,5,14,,2358,2291,,65.0,105.2,.249,.315,.531,48.6,55.5,11.0,10.9,.504,12.7,26.7,.180"
"173,Merrimack,34,23,11,.676,-4.27,-6.33,,17,3,,11,0,,9,8,,2330,2260,,63.7,106.4,.382,.461,.543,42.9,56.0,12.7,13.9,.491,13.2,24.8,.301"
"174,Miami (FL) NCAA,33,25,8,.758,18.04,7.28,,13,5,,15,3,,8,2,,2704,2349,,69.3,118.2,.375,.317,.581,55.6,53.7,11.4,10.0,.556,13.7,37.0,.257"
"175,Miami (OH) NCAA,32,31,1,.969,5.37,-5.49,,18,0,,16,0,,14,0,,2902,2409,,72.1,123.9,.396,.447,.640,51.4,51.5,10.2,8.6,.612,12.9,26.4,.296"
"176,Michigan NCAA,34,31,3,.912,32.48,14.86,,19,1,,14,1,,11,0,,2952,2353,,71.3,121.3,.377,.418,.612,56.2,60.7,8.0,15.9,.581,14.4,35.4,.282"
"177,Michigan State NCAA,32,25,7,.781,23.44,12.91,,15,5,,15,2,,6,4,,2526,2189,,66.8,117.3,.362,.364,.575,58.5,67.0,7.6,13.3,.536,14.4,38.5,.276"
"178,Middle Tennessee,32,17,15,.531,0.23,1.36,,11,9,,11,4,,5,8,,2414,2329,,67.3,109.6,.320,.459,.551,51.5,54.0,8.9,11.3,.523,14.4,31.4,.225"
"179,Milwaukee,32,12,20,.375,-7.52,-2.26,,8,12,,8,6,,3,14,,2440,2548,,69.5,109.7,.322,.375,.534,51.3,48.4,9.7,8.5,.505,12.7,33.6,.222"
"180,Minnesota,32,15,17,.469,10.45,8.95,,8,12,,13,4,,2,9,,2241,2193,,63.0,109.9,.359,.471,.570,48.9,72.0,10.2,8.2,.542,14.7,27.2,.251"
"181,Mississippi,35,15,20,.429,11.13,11.36,,4,14,,7,9,,3,7,,2656,2664,,68.3,109.2,.330,.355,.543,48.0,50.2,10.2,12.9,.504,12.2,28.3,.247"
"182,Mississippi State,32,13,19,.406,7.27,11.46,,5,13,,8,8,,4,6,,2484,2618,,71.5,107.4,.307,.401,.538,49.8,45.1,8.0,11.1,.515,13.9,29.8,.202"
"183,Mississippi Valley State,33,3,30,.091,-28.36,-7.89,,2,16,,2,9,,1,18,,2120,2739,,70.0,91.1,.337,.308,.498,45.3,53.4,10.3,8.0,.457,19.2,26.6,.241"
"184,Missouri NCAA,32,20,12,.625,13.08,8.77,,10,8,,15,3,,5,7,,2549,2411,,68.4,115.6,.425,.360,.582,52.6,50.6,9.7,10.4,.553,15.3,35.5,.291"
"185,Missouri State,34,16,18,.471,-2.67,-1.41,,8,12,,11,7,,3,10,,2551,2502,,66.9,110.5,.421,.409,.550,50.6,56.6,10.0,8.4,.517,14.0,33.2,.285"
"186,Monmouth,34,19,15,.559,-2.11,-3.14,,11,7,,10,4,,6,9,,2471,2409,,67.5,106.4,.327,.343,.537,49.7,53.8,11.4,12.2,.498,14.4,31.6,.244"
"187,Montana,34,18,16,.529,-2.33,-0.47,,10,8,,11,6,,5,9,,2627,2535,,71.2,108.6,.372,.418,.601,50.4,55.4,7.9,6.3,.564,17.5,22.0,.286"
"188,Montana State,32,18,14,.563,1.09,-1.05,,12,6,,11,2,,6,11,,2493,2285,,67.6,114.4,.300,.454,.580,50.3,41.7,10.0,7.4,.551,13.0,28.2,.223"
"189,Morehead State,33,20,13,.606,-11.13,-7.56,,15,5,,11,2,,7,10,,2484,2466,,67.4,110.8,.373,.306,.552,51.6,50.2,9.6,8.4,.513,14.7,36.4,.273"
"190,Morgan State,30,14,16,.467,-19.26,-10.93,,10,4,,9,6,,5,9,,2258,2347,,71.3,105.1,.418,.357,.532,48.7,52.7,6.9,9.1,.483,15.1,31.3,.310"
"191,Mount St. Mary's,32,15,17,.469,-10.35,-7.22,,11,9,,8,5,,7,11,,2178,2244,,67.7,100.2,.325,.431,.534,52.6,56.4,9.0,9.5,.508,19.3,32.6,.218"
"192,Murray State,32,20,12,.625,3.90,0.49,,12,8,,12,3,,5,6,,2667,2558,,72.3,115.3,.391,.448,.578,51.0,49.3,8.3,8.9,.538,14.0,33.0,.296"
"193,Navy,33,26,7,.788,-0.87,-9.90,,17,1,,15,2,,10,4,,2465,2105,,65.2,113.3,.402,.335,.574,54.5,62.6,11.6,10.5,.536,14.8,32.9,.295"
"194,NC State NCAA,33,20,13,.606,18.02,10.83,,10,8,,11,6,,6,4,,2762,2525,,69.5,119.0,.352,.439,.590,49.3,54.8,11.5,10.6,.553,11.5,28.5,.270"
"195,Nebraska NCAA,32,26,6,.813,21.54,10.48,,15,5,,16,2,,7,3,,2473,2119,,67.3,114.0,.272,.507,.581,50.2,65.6,10.7,8.7,.554,12.8,26.3,.204"
"196,Nevada,34,22,12,.647,10.17,5.81,,12,8,,15,2,,4,8,,2582,2434,,66.8,112.0,.466,.323,.551,52.1,57.2,9.8,12.0,.497,12.8,32.1,.351"
"197,Nevada-Las Vegas,33,17,16,.515,5.63,6.10,,11,9,,10,6,,6,6,,2620,2593,,70.7,111.1,.409,.358,.563,50.2,51.4,10.6,13.1,.532,14.6,31.7,.281"
"198,New Hampshire,30,9,21,.300,-16.98,-7.26,,5,11,,8,5,,1,16,,2076,2238,,67.7,99.7,.287,.434,.503,48.9,45.1,8.9,6.1,.476,14.0,27.0,.189"
"199,New Haven,31,14,17,.452,-13.65,-7.69,,9,9,,9,6,,5,11,,2013,2055,,64.2,101.1,.307,.403,.532,48.7,51.5,10.2,6.8,.504,15.4,24.0,.212"
"200,New Mexico,33,23,10,.697,13.52,5.05,,13,7,,14,3,,7,5,,2658,2337,,70.6,114.2,.363,.429,.571,51.7,53.8,11.3,9.6,.538,13.2,30.5,.264"
"201,New Mexico State,32,16,16,.500,-1.29,-1.35,,8,12,,10,5,,3,8,,2403,2303,,68.1,109.0,.352,.381,.530,51.5,49.8,9.3,9.5,.490,12.9,33.2,.256"
"202,New Orleans,33,15,18,.455,-3.96,-0.81,,12,10,,5,6,,9,11,,2459,2563,,69.7,106.2,.464,.337,.548,51.6,52.5,8.2,10.2,.496,17.4,35.6,.345"
"203,Niagara,30,8,22,.267,-16.27,-7.85,,5,15,,6,7,,2,14,,1916,2137,,63.1,100.8,.261,.402,.536,46.5,59.9,8.9,9.0,.508,16.7,25.4,.189"
"204,Nicholls State,33,14,19,.424,-6.77,-2.05,,12,10,,6,6,,7,12,,2388,2471,,68.7,105.3,.343,.442,.537,46.5,52.2,13.1,8.0,.510,15.0,29.1,.229"
"205,NJIT,33,16,17,.485,-15.76,-8.26,,10,6,,8,6,,8,11,,2212,2417,,68.3,98.1,.331,.407,.505,47.6,46.2,9.8,9.3,.467,14.8,27.1,.234"
"206,Norfolk State,32,15,17,.469,-13.57,-10.53,,8,6,,9,4,,5,10,,2445,2362,,70.1,108.9,.424,.302,.551,51.4,44.6,10.1,9.3,.515,15.1,33.8,.294"
"207,North Alabama,30,9,21,.300,-15.65,-5.51,,4,14,,5,8,,4,12,,2082,2328,,65.9,104.4,.378,.338,.523,49.5,41.1,9.8,11.4,.487,14.7,31.5,.260"
"208,North Carolina NCAA,32,24,8,.750,19.39,10.92,,12,6,,18,0,,4,6,,2553,2282,,68.8,116.0,.374,.423,.572,52.6,57.0,7.8,8.6,.546,12.2,31.4,.256"
"209,North Carolina A&T,30,11,19,.367,-9.56,-4.96,,4,14,,6,6,,4,11,,2252,2335,,69.6,107.4,.451,.325,.555,52.8,46.5,7.6,10.5,.512,15.9,31.9,.323"
"210,North Carolina Central,32,14,18,.438,-18.15,-8.50,,8,6,,8,5,,4,12,,2299,2415,,68.2,104.9,.388,.337,.537,46.1,54.8,12.8,10.5,.495,15.4,31.2,.283"
"211,North Dakota,35,18,17,.514,-8.93,-3.52,,10,6,,9,7,,7,8,,2680,2705,,69.6,109.2,.365,.403,.539,47.8,43.0,12.1,8.2,.504,12.1,29.1,.257"
"212,North Dakota State NCAA,34,27,7,.794,2.50,-5.79,,14,2,,13,1,,10,5,,2745,2366,,68.5,116.1,.308,.419,.573,53.5,53.9,12.0,9.0,.545,13.2,33.3,.223"
"213,North Florida,32,7,25,.219,-15.41,-2.98,,5,13,,5,8,,2,14,,2547,2821,,72.5,109.4,.288,.511,.570,45.2,50.6,7.0,3.4,.536,15.2,26.8,.223"
"214,North Texas,33,19,14,.576,2.08,1.14,,9,9,,12,5,,5,7,,2341,2225,,66.5,104.2,.399,.325,.515,50.0,51.1,13.7,13.5,.474,14.2,33.4,.277"
"215,Northeastern,31,7,24,.226,-8.88,-2.82,,2,16,,2,10,,3,13,,2322,2510,,69.6,107.1,.294,.378,.549,47.5,55.7,10.0,8.1,.524,14.4,27.3,.203"
"216,Northern Arizona,32,10,22,.313,-10.73,-1.22,,4,14,,9,7,,1,13,,2282,2445,,66.6,107.1,.330,.368,.558,45.8,51.8,10.3,7.9,.533,14.1,24.2,.224"
"217,Northern Colorado,32,20,12,.625,0.30,-2.46,,10,8,,11,3,,8,7,,2640,2449,,70.0,116.0,.267,.429,.594,53.4,54.8,6.1,6.8,.568,13.5,28.6,.203"
"218,Northern Illinois,30,9,21,.300,-14.77,-2.24,,4,14,,6,7,,3,14,,2086,2334,,69.7,99.7,.381,.450,.519,50.6,52.8,8.7,5.3,.486,18.2,32.4,.253"
"219,Northern Iowa NCAA,35,23,12,.657,8.49,1.49,,11,9,,12,5,,6,6,,2447,2144,,63.7,109.1,.256,.399,.568,49.2,57.4,10.1,9.9,.548,13.2,22.1,.179"
"220,Northern Kentucky,34,20,14,.588,-2.45,-4.67,,10,10,,12,5,,7,8,,2827,2634,,71.8,114.9,.362,.446,.574,50.4,54.6,11.9,9.7,.544,14.0,33.1,.258"
"221,Northwestern,34,15,19,.441,12.61,11.43,,5,15,,9,7,,3,8,,2487,2447,,65.3,111.6,.339,.340,.555,46.8,65.8,8.8,10.6,.517,11.5,28.1,.255"
"222,Northwestern State,32,10,22,.313,-9.31,-2.47,,8,14,,8,6,,2,15,,2185,2317,,65.7,103.5,.403,.338,.540,47.8,51.4,9.8,6.9,.494,15.6,27.2,.299"
"223,Notre Dame,31,13,18,.419,9.05,9.93,,4,14,,10,7,,2,9,,2308,2335,,66.7,109.9,.341,.435,.552,52.1,47.4,6.6,7.3,.523,14.6,31.2,.237"
"224,Oakland,32,16,16,.500,-1.35,-0.12,,12,8,,7,6,,8,9,,2642,2614,,71.4,115.7,.380,.339,.572,49.0,54.4,10.7,9.6,.533,12.7,31.6,.285"
"225,Ohio,32,15,17,.469,-4.65,-1.35,,9,9,,10,6,,4,8,,2492,2515,,70.4,109.7,.370,.380,.553,48.2,48.9,8.6,9.1,.520,13.4,28.7,.261"
"226,Ohio State NCAA,33,21,12,.636,19.06,12.06,,12,8,,14,3,,5,6,,2633,2402,,66.5,118.6,.378,.401,.603,51.6,52.0,7.2,7.0,.565,13.6,30.8,.293"
"227,Oklahoma,34,19,15,.559,15.02,9.37,,7,11,,11,5,,4,7,,2813,2621,,68.4,120.1,.359,.438,.585,50.7,50.2,9.1,10.4,.551,12.3,33.6,.268"
"228,Oklahoma State,33,19,14,.576,11.93,10.57,,6,12,,14,5,,2,7,,2781,2736,,74.0,112.6,.394,.359,.563,50.6,51.0,9.6,7.2,.521,13.8,31.3,.296"
"229,Old Dominion,33,12,21,.364,-7.19,-4.19,,7,11,,7,6,,4,14,,2514,2570,,70.4,107.4,.347,.362,.545,48.4,49.2,8.1,8.3,.508,13.5,26.5,.255"
"230,Omaha,33,16,17,.485,-7.25,-3.49,,8,8,,10,4,,5,10,,2507,2522,,68.7,110.2,.331,.416,.569,50.3,48.9,8.3,8.8,.536,14.2,26.9,.244"
"231,Oral Roberts,33,10,23,.303,-10.11,-2.21,,4,12,,7,8,,1,13,,2420,2558,,69.8,104.3,.366,.461,.544,49.6,48.3,8.5,9.0,.502,16.5,29.6,.272"
"232,Oregon,32,12,20,.375,8.95,12.04,,5,15,,10,7,,2,8,,2267,2366,,66.5,106.1,.350,.428,.534,49.9,59.0,9.1,11.7,.495,15.1,32.3,.255"
"233,Oregon State,33,17,16,.515,0.78,3.81,,9,9,,12,5,,4,7,,2347,2447,,66.2,105.8,.431,.443,.557,48.2,61.2,8.2,10.7,.505,15.7,26.8,.333"
"234,Pacific,33,18,15,.545,4.34,2.83,,8,10,,11,3,,4,11,,2399,2271,,65.9,109.9,.298,.355,.563,56.3,58.0,8.2,7.1,.530,16.8,35.8,.225"
"235,Penn State,32,12,20,.375,3.98,9.64,,3,17,,9,8,,2,9,,2358,2539,,67.5,109.2,.338,.381,.566,46.7,48.3,10.3,5.2,.530,13.9,25.9,.253"
"236,Pennsylvania NCAA,29,18,11,.621,-0.50,-1.72,,9,5,,12,2,,4,8,,2207,2126,,69.4,108.8,.366,.348,.540,50.2,52.9,9.7,8.6,.507,13.3,31.2,.253"
"237,Pepperdine,32,9,23,.281,-5.86,3.44,,4,14,,7,10,,2,11,,2312,2546,,69.5,103.2,.331,.385,.529,48.6,56.0,8.6,7.7,.488,15.8,31.3,.248"
"238,Pittsburgh,33,13,20,.394,8.58,9.88,,5,13,,8,10,,3,8,,2327,2370,,64.5,108.4,.304,.426,.535,51.9,52.3,10.1,9.5,.510,14.6,33.9,.205"
"239,Portland,34,15,19,.441,-2.08,3.95,,6,12,,12,6,,1,12,,2530,2669,,70.5,104.8,.355,.348,.556,49.8,62.1,8.3,9.0,.518,17.0,29.3,.262"
"240,Portland State,31,20,11,.645,0.06,-2.66,,13,5,,11,3,,8,7,,2376,2179,,69.6,109.3,.357,.345,.550,53.0,52.8,10.9,11.5,.517,14.3,31.9,.253"
"241,Prairie View A&M NCAA,35,18,17,.514,-12.74,-9.93,,9,9,,10,3,,3,13,,2761,2662,,73.8,106.4,.430,.307,.545,47.4,44.8,10.7,12.1,.495,14.1,28.0,.324"
"242,Presbyterian,33,15,18,.455,-8.31,-5.21,,7,9,,10,4,,3,13,,2388,2382,,66.7,107.2,.399,.291,.554,52.9,50.3,8.5,12.7,.522,16.6,33.9,.274"
"243,Princeton,29,9,20,.310,-6.92,-1.95,,5,9,,8,4,,1,12,,1989,2087,,64.7,105.1,.341,.446,.541,49.8,55.3,7.3,6.6,.500,14.8,28.0,.257"
"244,Providence,33,15,18,.455,10.84,9.53,,7,13,,10,6,,3,8,,2815,2772,,72.3,115.0,.367,.405,.586,51.7,47.5,7.2,9.6,.550,14.5,31.7,.278"
"245,Purdue NCAA,35,27,8,.771,25.64,14.13,,13,7,,12,5,,8,3,,2858,2455,,65.3,124.7,.286,.409,.601,55.5,66.8,8.5,8.9,.576,11.5,36.3,.213"
"246,Purdue Fort Wayne,32,17,15,.531,-7.27,-2.72,,11,9,,11,4,,6,11,,2499,2467,,70.2,111.2,.299,.444,.570,45.2,49.2,12.2,9.5,.544,12.7,23.6,.213"
"247,Queens (NC) NCAA,34,21,13,.618,-3.30,-4.97,,13,5,,12,2,,6,10,,2886,2820,,71.0,118.7,.374,.470,.599,48.9,54.8,8.3,7.9,.567,13.1,30.2,.277"
"248,Quinnipiac,32,19,13,.594,-5.48,-7.03,,12,8,,10,5,,9,7,,2411,2303,,70.0,106.8,.331,.341,.520,51.2,50.5,11.2,11.4,.488,13.1,34.4,.227"
"249,Radford,32,16,16,.500,-7.12,-6.19,,9,7,,12,5,,4,8,,2604,2523,,72.3,110.9,.401,.455,.561,49.3,47.7,10.7,9.4,.526,14.7,31.3,.283"
"250,Rhode Island,32,16,16,.500,2.43,0.74,,7,11,,10,6,,4,7,,2236,2182,,66.0,105.0,.384,.435,.541,49.2,47.9,12.6,12.0,.501,16.5,31.0,.277"
"251,Rice,31,13,18,.419,-4.48,0.28,,7,11,,8,8,,4,9,,2291,2311,,67.2,108.3,.340,.440,.527,50.9,48.3,9.8,10.5,.496,14.8,36.0,.233"
"252,Richmond,32,15,17,.469,2.26,0.29,,5,13,,11,7,,3,8,,2455,2366,,68.6,111.3,.367,.428,.565,47.7,54.7,10.2,7.4,.525,12.5,25.3,.276"
"253,Rider,29,4,25,.138,-19.14,-5.00,,3,17,,4,9,,0,16,,1840,2204,,65.9,96.3,.308,.275,.471,48.8,44.4,9.2,9.8,.433,14.3,32.9,.214"
"254,Robert Morris,33,22,11,.667,-1.29,-4.71,,13,7,,14,3,,8,7,,2555,2379,,66.4,114.5,.273,.401,.569,55.2,62.2,8.5,7.3,.549,15.6,38.6,.189"
"255,Rutgers,33,14,19,.424,4.91,9.46,,6,14,,10,7,,2,9,,2329,2479,,66.5,104.9,.361,.346,.520,47.6,50.6,9.1,9.7,.475,13.0,29.8,.268"
"256,Sacramento State,31,10,21,.323,-7.79,-0.08,,6,12,,10,4,,0,16,,2408,2542,,72.9,106.1,.407,.368,.536,46.3,50.8,10.4,9.1,.482,12.6,25.4,.316"
"257,Sacred Heart,33,14,19,.424,-11.27,-8.05,,9,11,,8,5,,5,13,,2482,2528,,68.4,109.6,.302,.507,.562,49.7,58.6,8.3,8.5,.525,15.3,29.5,.234"
"258,Saint Francis (PA),31,7,24,.226,-18.86,-5.83,,5,13,,5,8,,2,14,,2216,2510,,70.3,101.2,.305,.381,.525,47.3,52.5,10.5,6.0,.495,16.0,28.7,.212"
"259,Saint Joseph's,33,22,11,.667,2.65,0.98,,13,5,,13,3,,6,7,,2419,2306,,68.3,106.9,.308,.449,.535,52.0,60.9,8.0,12.7,.499,14.6,32.7,.229"
"260,Saint Louis NCAA,33,28,5,.848,17.27,1.52,,15,3,,19,0,,7,3,,2879,2294,,72.0,121.1,.341,.454,.626,55.2,60.0,9.9,9.8,.600,15.2,32.0,.254"
"261,Saint Mary's NCAA,32,27,5,.844,17.87,5.54,,16,2,,17,0,,8,2,,2502,2066,,66.5,117.6,.362,.362,.578,58.1,58.1,8.5,9.8,.532,13.8,37.8,.291"
"262,Saint Peter's,29,17,12,.586,-7.45,-7.59,,14,6,,13,1,,4,10,,2054,1984,,65.9,106.6,.350,.392,.517,50.8,53.7,13.5,11.5,.474,14.5,37.2,.256"
"263,Sam Houston,33,22,11,.667,3.57,-0.43,,13,7,,13,1,,6,9,,2714,2447,,71.1,115.7,.343,.364,.563,54.5,52.6,10.2,8.1,.531,13.9,37.6,.247"
"264,Samford,32,18,14,.563,-5.26,-6.09,,11,7,,11,3,,6,9,,2525,2409,,68.7,113.5,.409,.465,.568,50.6,56.0,6.6,7.2,.537,11.7,25.7,.282"
"265,San Diego,33,12,21,.364,-3.48,2.56,,5,13,,9,8,,2,11,,2458,2570,,69.3,106.2,.257,.431,.551,47.0,60.0,11.2,8.0,.521,15.6,29.1,.195"
"266,San Diego State,33,22,11,.667,13.62,8.12,,14,6,,14,2,,5,5,,2580,2342,,69.5,110.4,.383,.332,.568,51.0,54.2,10.8,15.2,.532,14.9,30.7,.280"
